Sales_Outlet_Id,Transaction_Date,Product_Id,Starting_Inventory,Quantity_Sold,Current Inventory,Waste,% Waste,Replenishment_Required
3,2019,69,71,30,38,3,0.042253521,NO
3,2019,70,36,22,5,9,0.25,YES
3,2019,71,73,43,22,8,0.109589041,YES
3,2019,72,97,43,21,33,0.340206186,YES
3,2019,73,70,47,10,13,0.185714286,YES
3,2019,69,75,16,52,7,0.093333333,NO
3,2019,70,51,42,9,0,0,YES
3,2019,71,91,85,3,3,0.032967033,YES
3,2019,72,71,55,8,8,0.112676056,YES
3,2019,73,59,2,4,53,0.898305085,YES
3,2019,69,39,3,32,4,0.102564103,NO
3,2019,70,52,6,41,5,0.096153846,NO
3,2019,71,55,40,10,5,0.090909091,YES
3,2019,72,37,27,10,0,0,YES
3,2019,73,45,19,15,11,0.244444444,YES
3,2019,69,32,3,26,3,0.09375,NO
3,2019,70,85,67,2,16,0.188235294,YES
3,2019,71,56,56,0,0,0,YES
3,2019,72,96,5,51,40,0.416666667,NO
3,2019,73,95,35,54,6,0.063157895,NO
3,2019,69,53,16,28,9,0.169811321,NO
3,2019,69,46,38,3,5,0.108695652,YES
3,2019,70,86,67,11,8,0.093023256,YES
3,2019,71,85,84,1,0,0,YES
3,2019,72,37,29,8,0,0,YES
3,2019,73,30,21,4,5,0.166666667,YES
3,2019,69,100,7,33,60,0.6,YES
3,2019,70,85,18,30,37,0.435294118,YES
3,2019,71,20,10,10,0,0,NO
3,2019,72,35,35,0,0,0,YES
3,2019,73,62,39,2,21,0.338709677,YES
3,2019,69,80,63,15,2,0.025,YES
3,2019,70,77,73,3,1,0.012987013,YES
3,2019,71,20,12,2,6,0.3,YES
3,2019,72,51,42,1,8,0.156862745,YES
3,2019,73,37,35,0,2,0.054054054,YES
3,2019,69,82,31,0,51,0.62195122,YES
3,2019,70,81,43,29,9,0.111111111,YES
3,2019,71,34,18,12,4,0.117647059,YES
3,2019,72,57,55,2,0,0,YES
3,2019,69,96,8,31,57,0.59375,YES
3,2019,70,33,16,15,2,0.060606061,YES
3,2019,71,20,20,0,0,0,YES
3,2019,72,48,35,7,6,0.125,YES
3,2019,73,29,20,2,7,0.24137931,YES
3,2019,69,83,36,4,43,0.518072289,YES
3,2019,70,58,26,27,5,0.086206897,YES
3,2019,71,24,7,9,8,0.333333333,YES
3,2019,72,64,8,4,52,0.8125,YES
3,2019,73,51,0,38,13,0.254901961,NO
3,2019,69,21,12,9,0,0,YES
3,2019,70,38,37,1,0,0,YES
3,2019,71,24,5,8,11,0.458333333,YES
3,2019,72,59,16,6,37,0.627118644,YES
3,2019,73,92,28,47,17,0.184782609,NO
3,2019,69,56,4,8,44,0.785714286,YES
3,2019,70,50,12,28,10,0.2,NO
3,2019,71,73,29,32,12,0.164383562,YES
3,2019,72,67,19,35,13,0.194029851,NO
3,2019,73,23,4,16,3,0.130434783,NO
3,2019,72,97,6,44,47,0.484536082,YES
3,2019,69,37,2,10,25,0.675675676,YES
3,2019,70,53,34,9,10,0.188679245,YES
3,2019,71,21,16,4,1,0.047619048,YES
3,2019,73,52,29,3,20,0.384615385,YES
3,2019,69,33,19,2,12,0.363636364,YES
3,2019,70,76,73,0,3,0.039473684,YES
3,2019,71,95,74,11,10,0.105263158,YES
3,2019,72,21,13,1,7,0.333333333,YES
3,2019,73,46,28,4,14,0.304347826,YES
3,2019,69,57,43,0,14,0.245614035,YES
3,2019,70,67,19,39,9,0.134328358,NO
3,2019,71,77,6,23,48,0.623376623,YES
3,2019,72,83,36,39,8,0.096385542,YES
3,2019,73,54,46,4,4,0.074074074,YES
3,2019,69,20,15,1,4,0.2,YES
